method,data_type,dimension,sample_size,noise_level,trial,frame_error,runtime,success,initialization,gradient_norm,iterations,step_size,stopping_criterion
pca_varimax,gaussian_rotated,5,1000,0.05,4,0.6599756078486936,0.0016679763793945312,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,5,1000,0.05,5,0.4753745462627748,0.00177001953125,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,5,1000,0.05,6,0.7555966824585736,0.001667022705078125,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,5,1000,0.05,7,0.6317956430398921,0.0016751289367675781,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,5,1000,0.05,8,0.5057755346824291,0.0017867088317871094,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,5,1000,0.05,9,0.6088963310558424,0.0017099380493164062,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,10,1000,0.05,0,0.9332893488350333,0.002007007598876953,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,10,1000,0.05,1,0.7804485173321355,0.005676984786987305,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,10,1000,0.05,2,0.8032612400967712,0.0019750595092773438,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,10,1000,0.05,3,0.787953208750392,0.0018339157104492188,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,10,1000,0.05,4,0.8359580684724817,0.0020647048950195312,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,10,1000,0.05,5,0.7468091248508859,0.0019099712371826172,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,10,1000,0.05,6,0.618574766107264,0.0017521381378173828,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,10,1000,0.05,7,0.7670182130895475,0.0018949508666992188,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,10,1000,0.05,8,0.7702857922436952,0.0018069744110107422,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,10,1000,0.05,9,0.8907915463740105,0.0019497871398925781,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,15,1000,0.05,0,0.8688085396591253,0.002295255661010742,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,15,1000,0.05,1,0.9787508576741075,0.002819061279296875,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,15,1000,0.05,2,0.9111098077324978,0.0023250579833984375,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,15,1000,0.05,3,1.0061885844614384,0.002276182174682617,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,15,1000,0.05,4,0.9360551970222207,0.002125978469848633,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,15,1000,0.05,5,0.9638722060381735,0.0022919178009033203,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,15,1000,0.05,6,1.0862539694314628,0.0024487972259521484,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,15,1000,0.05,7,0.8942476493204984,0.0021898746490478516,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,15,1000,0.05,8,0.8807272043483397,0.0020928382873535156,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,15,1000,0.05,9,0.9085472514134841,0.002485036849975586,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,25,1000,0.05,0,1.1499013811646064,0.004491090774536133,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,25,1000,0.05,1,1.1443133809320014,0.003464221954345703,True,N/A,,,,R stats::varimax
